,episode,reward,alloc_lte,alloc_nr,demand_lte,demand_nr
0,0,-0.23701265,8.974546,9.465128,15.807497,20.394081
1,1,-0.50955665,8.782132,2.5065787,18.024706,19.21998
2,2,-0.52141726,0.0,16.033337,18.535122,20.217695
3,3,-0.44359052,1.6594396,16.8244,18.158249,22.378908
4,4,-0.45240626,3.3260138,10.765465,17.885658,21.19555
5,5,-0.58864075,6.7541847,2.368602,18.393919,19.969004
6,6,-1.0,0.0,0.0,18.624899,19.552782
7,7,-0.50898325,0.0,16.66533,19.45418,19.2449
8,8,-0.35464445,5.4149733,10.619064,19.806532,18.494652
9,9,-0.07932809,17.140533,11.28855,19.783041,18.068966
10,10,-0.31065768,8.009333,8.211727,19.540804,17.199553
11,11,-0.32558143,8.543066,7.593568,18.49809,19.04501
12,12,-0.53454006,1.2050037,11.689838,18.228346,21.015783
13,13,-0.40631992,4.3052983,10.209895,17.602415,20.095201
14,14,-0.54158896,0.0,13.942763,18.030088,19.5937
15,15,-0.5111199,0.0,16.937443,17.71425,19.90603
16,16,-0.21324289,7.815117,17.395311,21.688517,20.031017
17,17,-0.58754647,1.7687354,8.09033,19.937855,19.592367
18,18,-0.5214757,0.0,15.381201,20.517488,19.402262
19,19,-0.38952416,4.0951996,12.074175,21.38194,18.694853
20,20,-0.50040585,0.0,18.723194,20.68572,18.204529
21,21,-0.64867425,0.0,8.613718,21.23622,18.943604
22,22,-0.6520857,0.94826156,7.5086074,20.976528,20.10497
23,23,-0.2716168,8.295993,11.280615,20.724445,19.737844
24,24,-0.23899922,8.363873,15.853404,20.561554,24.58184
25,25,-0.2395514,8.40298,15.297552,20.356472,24.145947
26,26,-0.7931637,0.0,5.768654,20.330626,24.622921
27,27,-0.8504559,0.0,4.000479,21.037914,24.573673
28,28,-0.5260446,5.810542,8.1345825,26.036457,24.634848
29,29,-0.5871724,0.0,14.301281,26.022171,24.553501
30,30,-0.82600856,0.0,4.7221384,20.857206,24.527514
31,31,-0.5540246,0.0,16.479786,22.580305,24.549368
32,32,-0.40742657,4.497151,15.695574,25.981367,24.602875
33,33,-0.92703784,1.3904898,0.5108591,25.79385,24.652853
34,34,-0.092973605,14.650674,15.439882,18.53482,24.778002
35,35,-0.56763494,0.13635787,14.95609,18.78017,24.396627
36,36,-0.35908926,4.9556246,13.718168,17.994404,24.4734
