episode,reward,alloc_lte,alloc_nr,demand_lte,demand_nr
0,-0.50743437,29.80205,30.19795,15.807497,20.394081
1,-0.77088594,0.08798897,33.49347,18.024706,19.21998
2,-0.36089396,23.471521,36.528477,18.535122,20.217695
3,-0.55297756,30.244131,4.1576138,18.158249,22.378908
4,-1.9329435,0.022423267,57.093037,17.885658,21.19555
5,-1.0477018,2.7012277,43.321182,18.393919,19.969004
6,-0.15119454,26.795143,26.036377,18.624899,19.552782
7,-0.6865653,5.156275,36.80923,19.45418,19.2449
8,-1.4138303,0.23080051,43.655743,19.806532,18.494652
9,-2.7856586,0.14092505,56.761513,19.783041,18.068966
10,-1.0499771,5.0409937,38.60833,19.540804,17.199553
11,-0.32488915,19.56721,34.357456,18.49809,19.04501
12,-0.021021072,16.283157,24.695324,18.228346,21.015783
13,-0.37089112,30.08843,29.911572,17.602415,20.095201
14,-0.013901823,16.460531,22.38025,18.030088,19.5937
15,-0.8923678,41.352894,18.647104,17.71425,19.90603
16,-0.5672991,18.79989,41.20011,21.688517,20.031017
17,-2.3840659,0.5289155,57.887722,19.937855,19.592367
18,-0.22930491,26.449438,7.5205135,20.517488,19.402262
19,-0.3142029,27.47648,32.523518,21.38194,18.694853
20,-0.60233396,36.29593,3.6957245,20.68572,18.204529
21,-0.2449744,33.259514,26.740482,21.23622,18.943604
22,-0.40711895,2.6594048,15.532481,20.976528,20.10497
23,-0.3917232,3.8165884,12.961997,20.724445,19.737844
24,-0.1078231,27.10607,32.893932,20.561554,24.58184
25,-0.46747094,39.761948,20.23805,20.356472,24.145947
26,-0.21787536,9.609735,34.400322,20.330626,24.622921
27,-0.58516085,9.915022,1.3806224,21.037914,24.573673
28,-0.09539568,15.848851,19.852293,26.036457,24.634848
29,-0.029951887,25.803387,30.559484,26.022171,24.553501
30,-0.15766555,20.025345,38.265995,20.857206,24.527514
31,-0.08656688,31.066425,28.933573,22.580305,24.549368
32,-6.475384,12.14056,47.859444,25.981367,24.602875
33,-0.45656097,7.656124,40.60421,25.79385,24.652853
34,-0.17691067,28.247208,31.752794,18.53482,24.778002
35,-0.6666918,0.6329709,8.97348,18.78017,24.396627
36,-0.08776063,16.096361,34.39631,17.994404,24.4734
37,-0.5135245,13.200794,0.97703934,19.521032,24.626286
38,-1.243499,44.13001,0.79609036,19.655172,24.6485
39,-0.12646814,10.705654,27.459126,20.922415,24.509495
40,-0.19637673,19.941256,40.058746,20.258783,24.628735
41,-0.8422656,42.153732,7.8152757,20.02734,24.508678
42,-0.74877805,2.4839811,45.75223,20.040878,24.671589
43,-0.3289982,3.745519,25.287455,19.797356,24.688599
44,-0.14955375,28.921696,31.078304,19.592157,24.490675
