episode,reward,alloc_lte,alloc_nr,demand_lte,demand_nr
0,-4.696902,24.018963,35.98104,15.807497,20.394081
1,-0.410457,15.2370825,2.061419,18.024706,19.21998
2,-0.41899082,9.23682,4.73669,18.535122,20.217695
3,-0.24723822,28.64749,31.352509,18.158249,22.378908
4,-0.15181461,9.61019,14.852815,17.885658,21.19555
5,-0.3498472,31.76289,28.237108,18.393919,19.969004
6,-0.62739825,29.517134,0.87213993,18.624899,19.552782
7,-0.17946383,9.929799,12.599446,19.45418,19.2449
8,-0.363295,27.447355,32.552647,19.806532,18.494652
9,-1.041229,47.638985,12.361013,19.783041,18.068966
10,-6.358922,24.923832,35.07617,19.540804,17.199553
11,-0.22414066,19.082472,31.782167,18.49809,19.04501
12,-0.8829453,11.913939,47.977432,18.228346,21.015783
13,-0.6178378,31.28171,4.1229844,17.602415,20.095201
14,-0.64841515,18.0934,41.906597,18.030088,19.5937
15,-8.672454,39.957897,20.042107,17.71425,19.90603
16,-0.24236214,21.344875,6.0886054,21.688517,20.031017
17,-0.9241034,0.8391166,38.492744,19.937855,19.592367
18,-15.527283,52.578815,7.4211893,20.517488,19.402262
19,-0.28961962,28.517786,31.482214,21.38194,18.694853
20,-1.5403342,11.000917,48.999084,20.68572,18.204529
21,-0.70064247,18.742353,41.25764,21.23622,18.943604
22,-0.21336909,31.603292,28.396704,20.976528,20.10497
23,-0.25781924,27.786125,32.213875,20.724445,19.737844
24,-0.40075946,4.512477,13.802789,20.561554,24.58184
25,-0.4806115,34.12382,7.0070243,20.356472,24.145947
26,-0.0669122,26.94678,28.73731,20.330626,24.622921
27,-0.13382494,31.346062,28.653934,21.037914,24.573673
28,-0.8511915,8.07998,51.920017,26.036457,24.634848
29,-5.096166,47.54206,12.457942,26.022171,24.553501
30,-0.1919791,8.434561,20.335281,20.857206,24.527514
31,-0.7980964,41.05439,0.9152913,22.580305,24.549368
32,-0.044351652,33.437603,26.562399,25.981367,24.602875
33,-0.035876825,30.64246,29.357538,25.79385,24.652853
34,-0.7814837,7.24865,51.83244,18.53482,24.778002
35,-0.110006765,13.769856,14.984524,18.78017,24.396627
36,-0.7008254,5.358721,47.80112,17.994404,24.4734
37,-0.37067747,12.729265,5.2307405,19.521032,24.626286
38,-0.02807146,22.810694,28.943888,19.655172,24.6485
39,-1.4083987,49.387894,0.4231596,20.922415,24.509495
40,-1.2540671,50.00061,9.99939,20.258783,24.628735
41,-0.45159784,12.166715,45.721695,20.02734,24.508678
42,-0.06390166,26.69589,21.4049,20.040878,24.671589
43,-0.4182242,16.596615,2.4646158,19.797356,24.688599
44,-1.3040309,49.259003,10.740993,19.592157,24.490675
45,-0.09705607,27.093168,29.35102,19.410261,24.592447
46,-1.2070701,1.1047089,54.663303,21.801746,24.512629
47,-0.04316822,20.708153,29.901188,25.865717,24.593493
48,-1.0646533,4.0641046,55.935894,25.652185,25.517202
49,-0.29921046,5.652008,24.71205,24.918823,25.337143
50,-0.28974804,13.642332,8.541584,21.870258,25.254824
51,-0.39451686,36.753975,23.246025,19.50899,25.476452
52,-0.102975495,16.518486,15.033274,20.609314,25.39862
53,-0.09530771,27.857676,32.142323,20.853825,25.131662
54,-1.6086813,54.584312,5.4156876,20.900736,25.482471
55,-0.22631145,28.027508,10.6149025,20.933725,25.345865
56,-0.64551693,1.0082406,41.29616,20.747715,25.472927
57,-0.21619286,18.188168,41.811832,20.942654,25.428776
58,-0.83290255,6.728437,53.27156,20.568615,25.35074
59,-0.18975034,13.228222,12.29405,20.112175,25.202938
60,-0.207433,24.804636,10.325305,19.897882,25.496222
61,-7.130626,40.88794,19.112064,19.348927,25.12592
62,-0.19993246,19.711712,40.28829,18.931723,24.70151
63,-0.30998945,20.674046,5.378748,19.701181,25.115252
64,-0.19582993,30.954899,29.0451,19.2739,25.123854
65,-0.12462962,27.440739,32.55926,19.465652,25.331732
66,-0.14828955,30.213474,29.786526,19.933931,25.348537
67,-0.117140904,23.005533,36.99447,19.635794,25.468063
68,-1.431066,48.035927,11.964072,18.41079,25.04883
69,-8.056806,43.820736,16.179268,20.294548,24.811531
70,-0.13774219,31.117558,28.882442,20.76416,24.815186
71,-0.04719452,25.260006,19.616257,20.69484,24.95196
72,-0.2737142,8.145647,28.284798,21.257174,20.079618
