,episode,reward,alloc_lte,alloc_nr,demand_lte,demand_nr
0,0,-0.5000459,15.656072,0.0,15.807497,20.394081
1,1,-1.0,0.0,0.0,18.024706,19.21998
2,2,-0.6281775,0.096331365,9.776233,18.535122,20.217695
3,3,-0.7372693,1.589511,4.4485397,18.158249,22.378908
4,4,-0.3069799,7.6403494,9.863676,17.885658,21.19555
5,5,-0.4807236,6.945925,4.8387284,18.393919,19.969004
6,6,-0.3456514,4.2296343,13.560512,18.624899,19.552782
7,7,-0.50196683,0.0,18.037876,19.45418,19.2449
8,8,-0.8681539,0.0,2.6246908,19.806532,18.494652
9,9,-0.6787054,7.1457977,0.46348804,19.783041,18.068966
10,10,-0.7069713,0.9616069,4.9173217,19.540804,17.199553
11,11,-0.64950454,0.0,8.63087,18.49809,19.04501
12,12,-0.865769,0.0,3.040985,18.228346,21.015783
13,13,-0.7908715,0.0,4.768173,17.602415,20.095201
14,14,-1.0,0.0,0.0,18.030088,19.5937
15,15,-1.0,0.0,0.0,17.71425,19.90603
16,16,-0.60774523,0.0,10.732429,21.688517,20.031017
17,17,-0.76534784,0.0,5.31955,19.937855,19.592367
18,18,-0.6302706,0.0,9.498718,20.517488,19.402262
19,19,-0.49595332,7.9009795,4.281653,21.38194,18.694853
20,20,-1.0,0.0,0.0,20.68572,18.204529
21,21,-0.8602878,0.0,2.8629992,21.23622,18.943604
22,22,-0.94517505,1.1834174,0.0,20.976528,20.10497
23,23,-0.8549309,0.0,3.1080585,20.724445,19.737844
24,24,-0.39963987,12.627064,4.7577033,20.561554,24.58184
25,25,-0.6408225,0.0,11.331634,20.356472,24.145947
26,26,-0.68128705,0.0,9.796444,20.330626,24.622921
27,27,-0.79595494,0.0,5.667751,21.037914,24.573673
28,28,-0.6610817,0.0,10.6522455,26.036457,24.634848
29,29,-0.92998254,1.8906909,0.0,26.022171,24.553501
30,30,-0.7950308,0.0,5.68659,20.857206,24.527514
31,31,-0.59809756,0.0,13.675489,22.580305,24.549368
32,32,-0.5489202,0.7748802,14.866856,25.981367,24.602875
33,33,-0.64125454,0.59843844,10.525834,25.79385,24.652853
34,34,-0.82848465,2.567215,1.0790335,18.53482,24.778002
35,35,-0.641902,0.0,11.399747,18.78017,24.396627
36,36,-0.5858904,5.7306867,3.8910184,17.994404,24.4734
37,37,-0.6840739,0.0,9.684241,19.521032,24.626286
38,38,-0.82556903,3.794799,0.0,19.655172,24.6485
39,39,-0.6026417,0.0,13.404679,20.922415,24.509495
40,40,-0.7350231,0.0,7.743296,20.258783,24.628735
41,41,-0.8892601,2.3564582,0.0,20.02734,24.508678
42,42,-0.88322204,1.3507918,1.308953,20.040878,24.671589
43,43,-0.70173657,0.0,9.006516,19.797356,24.688599
44,44,-0.73623276,0.561914,6.677954,19.592157,24.490675
45,45,-0.7456578,0.0,7.3546386,19.410261,24.592447
46,46,-0.245704,12.16984,11.171248,21.801746,24.512629
47,47,-0.7685979,0.0,6.5680265,25.865717,24.593493
48,48,-0.6017637,0.0,14.005369,25.652185,25.517202
49,49,-0.7290578,0.6050361,7.3123636,24.918823,25.337143
50,50,-0.19892725,13.391383,12.689409,21.870258,25.254824
51,51,-0.5412619,2.5020916,11.006781,19.50899,25.476452
52,52,-0.5252979,1.9260371,13.250448,20.609314,25.39862
53,53,-0.2436906,11.722583,11.4666,20.853825,25.131662
54,54,-0.7228559,0.0,8.469951,20.900736,25.482471
55,55,-0.35788846,6.862319,12.3244095,20.933725,25.345865
56,56,-0.92193735,0.0,2.0728204,20.747715,25.472927
57,57,-0.2200664,8.627999,17.617224,20.942654,25.428776
58,58,-0.61036193,5.110742,4.8192887,20.568615,25.35074
59,59,-0.24846765,12.473156,10.235881,20.112175,25.202938
60,60,-0.37117332,8.331752,9.281213,19.897882,25.496222
61,61,-0.06567121,15.223009,17.763031,19.348927,25.12592
62,62,-0.21802385,14.4335,9.482637,18.931723,24.70151
63,63,-0.31991386,11.442726,8.005313,19.701181,25.115252
64,64,-0.124651976,9.6510725,24.972763,19.2739,25.123854
65,65,-0.28497648,13.543963,7.828845,19.465652,25.331732
66,66,-0.40819684,2.4342258,19.928988,19.933931,25.348537
67,67,-0.054078326,15.322654,19.2345,19.635794,25.468063
68,68,-0.1900248,11.026756,13.321491,18.41079,25.04883
69,69,-0.1315097,18.928568,12.1968975,20.294548,24.811531
70,70,-0.026124552,19.978481,19.22117,20.76416,24.815186
71,71,-0.43031764,4.9012747,11.790769,20.69484,24.95196
72,72,-0.08888024,18.186249,28.03303,21.257174,20.079618
73,73,-0.094556026,18.598562,11.278731,19.953691,19.771097
74,74,-0.06541701,15.272934,13.9777355,19.665237,19.53595
75,75,-0.2446657,7.408448,13.493952,19.740051,19.69266
76,76,-0.24751997,15.372834,6.4984727,20.102667,19.288155
77,77,-0.026136706,17.510033,15.059234,19.641249,18.853386
78,78,-0.0777501,16.653566,11.772031,19.577322,18.537495
79,79,-0.14527294,9.35199,18.323889,20.267141,17.925182
80,80,-0.041139252,14.194264,17.059353,19.892504,16.807796
81,81,-0.18651387,15.700051,6.9998975,20.011694,16.33562
82,82,-0.15711536,9.367552,13.396636,19.347727,17.162565
83,83,-0.15033084,8.886476,17.740421,19.671942,17.597933
84,84,-0.07196741,13.406424,23.053478,19.041039,18.630335
85,85,-0.16986972,22.389347,7.9240556,19.636345,18.248072
86,86,-0.20698419,18.73964,6.6443305,21.023481,18.162178
87,87,-0.39758167,7.8877554,6.5605626,20.49283,18.512548
88,88,-0.23126492,11.751749,9.483235,22.682287,18.233507
89,89,-0.23184854,18.026041,5.9460278,21.022572,17.79543
90,90,-0.0896579,12.523101,14.778301,20.867157,17.171448
91,91,-0.061524414,17.655357,11.482516,20.965763,16.719778
92,92,-0.004769085,19.502508,18.6665,20.915255,17.436552
93,93,-0.076162115,20.848055,25.150799,20.361233,18.099903
94,94,-0.004861281,20.168884,16.469051,19.934221,18.256304
95,95,-0.19400176,28.56224,12.691963,18.803276,19.360495
96,96,-0.12579042,14.16635,11.176193,19.49298,19.289494
97,97,-0.06918813,21.887308,12.819071,19.449137,19.728617
98,98,-0.020522688,26.343067,18.281746,22.50137,20.519823
99,99,-0.21846516,10.23551,14.904625,26.100168,20.134268
100,100,-0.011405697,29.564209,18.477158,26.315517,20.23812
101,101,-0.030731283,28.350542,14.730992,26.273603,19.255589
102,102,-0.033766586,29.604816,23.84169,26.237635,19.447166
103,103,-1.247703,34.049942,25.950062,26.192894,18.942139
104,104,-0.00084119145,26.905607,19.629755,26.235481,19.01937
105,105,-0.067542434,34.764202,21.407196,26.20339,18.322302
106,106,-0.03788788,30.636284,15.032172,26.024902,19.044058
107,107,-0.1514571,32.584995,27.415005,26.3932,18.302618
108,108,-0.06408545,31.784044,24.288073,26.374405,18.778038
109,109,-0.06949211,25.546663,26.054289,26.301973,18.994184
110,110,-0.074838735,31.818499,24.974401,26.283722,18.854973
111,111,-0.007491158,27.611202,20.088047,26.300898,18.067963
112,112,-0.18664949,29.146708,30.853292,26.239553,19.273037
113,113,-0.1057235,35.537266,24.462734,26.205954,18.94928
114,114,-0.21504326,30.388805,29.611195,26.179543,18.102024
115,115,-0.101973444,35.307007,24.69299,26.135506,19.227472
116,116,-1.2112207,37.80293,22.197075,26.269289,19.041994
117,117,-0.14472237,33.56302,26.43698,26.297308,18.08725
118,118,-1.1463313,37.379333,22.62067,26.307104,19.221144
119,119,-0.17405298,31.861881,28.138117,26.266603,18.151186
120,120,-0.12945157,31.757948,28.242054,21.196089,25.604946
121,121,-3.336135,33.5691,26.430906,18.87734,25.678612
122,122,-1.5689945,28.58227,31.417734,19.340298,25.36592
123,123,-0.24865742,34.406,25.594002,20.17707,25.544146
124,124,-2.1728747,34.11331,25.886692,20.94904,25.536703
125,125,-0.11985952,31.436258,28.563738,21.339098,25.372185
126,126,-0.12814917,31.12263,28.877373,20.902225,25.528036
127,127,-0.22525555,33.964733,26.035267,20.331663,25.278873
128,128,-0.13146102,29.639084,30.360914,20.084656,25.483944
129,129,-0.27126613,33.25666,26.743341,19.164705,25.639118
130,130,-0.3274984,32.15766,27.842337,17.82556,25.485888
131,131,-0.28768578,31.569128,28.430874,18.014538,25.93909
132,132,-0.44170773,35.167545,24.832457,18.137152,25.911795
133,133,-4.026041,35.63762,24.362387,19.226147,25.864191
134,134,-0.25842628,33.17649,26.823511,19.309582,25.950052
135,135,-0.2969121,33.361614,26.638386,18.850628,25.728506
136,136,-0.21179758,31.585049,28.414951,19.218191,25.890625
137,137,-0.22224982,31.835936,28.164066,19.16636,25.91436
138,138,-4.2748213,34.531963,25.46804,18.352823,25.71155
139,139,-0.31094342,32.90001,27.099989,18.414797,25.662878
140,140,-0.24391466,30.84462,29.155382,18.335443,25.361513
141,141,-0.16807689,28.902199,31.097803,18.759493,25.714392
142,142,-0.1738552,29.358902,30.641098,18.932108,25.308874
143,143,-0.13584173,34.575775,25.424223,22.729877,25.6477
144,144,-0.09448576,34.18249,25.817509,26.142017,19.750212
145,145,-1.4509941,29.940691,30.059313,26.097864,20.146011
146,146,-0.12385393,30.379053,29.620947,26.070887,20.157589
147,147,-0.0957025,35.407555,24.592443,25.79453,20.007425
148,148,-0.09651974,36.168243,23.831755,25.756638,20.33156
149,149,-0.13771808,30.55015,29.44985,25.949047,19.712612
150,150,-0.111080244,32.94817,27.05183,26.063944,19.456427
151,151,-0.12177339,34.216373,25.783628,25.91694,18.74495
152,152,-0.17664315,29.77491,30.22509,25.93035,19.183348
153,153,-0.37723178,25.18654,34.81346,25.667152,18.6328
154,154,-0.12042692,34.77805,25.22195,25.716768,18.79963
155,155,-0.15683044,32.230907,27.76909,25.501486,18.587196
156,156,-0.17622253,32.00272,27.99728,25.181038,18.319748
157,157,-2.9598587,28.985737,31.014269,25.513264,18.022594
158,158,-0.2756501,27.766726,32.233276,25.58766,18.5505
159,159,-0.20620507,30.757124,29.242878,25.692932,18.149801
160,160,-0.15196669,33.320305,26.67969,25.517996,18.289495
161,161,-0.23533575,30.764997,29.235,24.998335,17.76006
162,162,-0.1535254,32.11831,27.881693,25.66514,18.665049
163,163,-0.3007485,27.498697,32.501305,25.427681,18.349113
164,164,-0.20806974,30.170263,29.829737,25.53017,18.425291
165,165,-0.19389153,31.194735,28.805267,25.500814,18.216019
166,166,-0.20042159,30.248648,29.751352,25.440044,18.545357
167,167,-0.17548764,31.696844,28.303158,25.356312,18.413681
168,168,-0.03776432,27.86551,32.134487,25.463037,25.54165
169,169,-0.033545848,31.040129,28.959873,25.349943,25.645103
170,170,-0.034230646,30.375755,29.624245,25.167877,25.53518
171,171,-0.035549313,29.30416,30.69584,25.054396,25.458183
172,172,-0.038840055,30.0,30.0,25.00098,25.122217
173,173,-0.053129416,27.688335,32.311665,25.082735,24.68464
174,174,-0.062707275,26.233809,33.766193,24.926022,25.007715
175,175,-0.044909604,29.904646,30.095354,24.658138,24.850332
176,176,-0.057479057,32.673565,27.326433,24.615156,25.11108
177,177,-0.04001764,30.062328,29.937672,24.639797,25.418861
178,178,-0.046736225,30.745165,29.254833,24.487516,25.050426
179,179,-0.052603997,32.526337,27.473663,24.792524,25.230995
180,180,-0.03610445,30.0,30.0,25.091627,25.332811
181,181,-0.05529366,25.89619,34.10381,24.988113,25.631264
182,182,-0.044154897,31.997673,28.002325,24.941534,25.667652
183,183,-0.0405489,27.608232,32.39177,24.973423,25.616024
184,184,-0.038017243,29.77914,30.22086,24.831244,25.382814
185,185,-0.037163064,30.0,30.0,24.66181,25.734507
186,186,-0.36435437,28.964792,31.035212,24.848919,25.927385
187,187,-0.37365717,28.644545,31.35546,24.830093,25.901493
188,188,-0.046888195,30.544971,29.455027,24.050043,25.73893
189,189,-0.035369683,29.987728,30.01227,24.698135,25.923948
190,190,-0.048605878,32.22634,27.773659,24.717741,25.950935
191,191,-0.034177322,30.590103,29.409895,25.025562,25.854277
192,192,-0.3233068,29.140501,30.8595,24.933767,17.276388
193,193,-0.20231596,30.842031,29.157967,24.858944,18.352009
194,194,-0.17423917,29.63867,30.361332,24.928574,19.471552
195,195,-0.17005695,30.0,30.0,24.877932,19.409424
196,196,-1.2458756,32.93216,27.067844,25.17221,19.86463
197,197,-0.14103095,29.892063,30.107939,25.721209,19.995518
198,198,-0.12961817,30.563492,29.436508,25.624481,20.007694
199,199,-0.1686221,28.96909,31.030909,25.811924,19.793905
200,200,-0.15911599,30.735157,29.26484,25.963264,19.08568
201,201,-0.20419453,28.512896,31.487106,25.84787,19.309175
202,202,-1.237483,34.40571,25.594296,26.102274,18.932722
203,203,-0.24244098,29.228596,30.771404,22.90484,18.771486
204,204,-0.3658625,30.750095,29.249907,18.87238,18.520506
205,205,-0.36119878,28.922522,31.077478,18.56385,18.936785
206,206,-4.4393353,26.158083,33.841923,18.841002,18.695736
207,207,-0.30061024,29.70865,30.29135,19.863733,18.975925
208,208,-0.33554792,33.316494,26.683504,19.760479,18.431057
209,209,-0.26435414,30.225292,29.774708,20.867643,18.936064
210,210,-0.26832008,28.893492,31.106508,21.749413,18.797892
211,211,-0.3718943,26.576807,33.42319,19.246151,18.84308
212,212,-3.841154,28.797276,31.202728,19.269695,18.642504
213,213,-4.2765102,25.082218,34.917786,20.011282,18.929827
214,214,-0.4163626,26.698797,33.301205,18.513906,18.51819
215,215,-0.477645,23.36043,36.639572,17.914473,18.994953
216,216,-3.7014246,33.282192,26.717812,18.295551,25.575788
217,217,-0.2650843,31.251877,28.748125,18.18864,25.673208
218,218,-0.2574592,33.678173,26.321827,19.61576,25.522022
219,219,-0.11460791,29.875391,30.124609,20.7004,25.507477
220,220,-0.12412302,29.406216,30.59378,20.259222,25.269432
221,221,-0.08651945,27.828926,32.171074,21.074915,25.427553
222,222,-0.11499129,28.553596,31.446404,20.124023,25.493685
223,223,-0.099176526,28.324072,31.675926,20.893469,24.979267
224,224,-0.11357756,28.381664,31.618338,20.290771,25.0727
225,225,-0.116095364,28.70064,31.299362,20.096973,25.630707
226,226,-0.10523887,27.087864,32.912136,20.005241,25.47816
227,227,-0.17679295,31.186703,28.813297,19.777256,25.183445
228,228,-0.06689697,25.20093,34.799072,25.707058,25.48919
229,229,-0.031202568,29.780975,30.219025,25.9761,25.133074
230,230,-0.03168151,31.364136,28.635864,25.9336,25.125956
231,231,-0.033647675,29.750555,30.249445,26.056862,24.850489
232,232,-0.03543496,29.441372,30.558628,25.61106,25.04327
233,233,-0.35625833,29.819445,30.18056,25.504742,25.358738
234,234,-0.6653015,26.331017,33.668987,25.650658,24.999512
235,235,-0.040267035,27.680923,32.319077,25.68846,25.388517
236,236,-0.030241646,30.0,30.0,25.234224,25.917334
237,237,-0.031803586,30.019623,29.980377,25.165464,25.789948
238,238,-0.03986845,26.993584,33.006416,25.177053,25.927973
239,239,-0.0399116,32.184673,27.815323,25.372255,25.567205
240,240,-1.4074112,30.75403,29.245974,25.198713,20.096302
241,241,-0.1784289,30.349228,29.650774,25.165724,18.997864
242,242,-0.17229307,28.958504,31.041498,24.465063,19.929808
243,243,-0.09523087,28.931965,31.068035,24.997587,22.080257
244,244,-0.14024134,27.70748,32.29252,25.056137,21.26008
245,245,-0.1873842,28.321136,31.678864,24.687334,19.87102
246,246,-0.27701262,26.383389,33.61661,24.312885,19.326101
247,247,-0.3456118,25.408998,34.591,24.877447,18.890583
248,248,-0.28536385,29.443169,30.556833,23.661388,17.818897
249,249,-0.35558316,27.617756,32.382244,23.674171,17.727268
250,250,-0.18635519,27.977173,32.022827,24.653366,20.071632
251,251,-0.18932134,30.34531,29.65469,20.812689,21.017883
252,252,-0.31727916,29.178091,30.821907,19.809345,18.782396
253,253,-0.22653258,29.536003,30.463997,21.088406,19.769932
254,254,-0.23785214,27.803576,32.196426,20.600788,20.191875
255,255,-0.31120008,27.276363,32.723637,19.95221,19.268255
256,256,-3.279984,27.076942,32.92306,20.718699,19.26848
257,257,-3.2558389,27.58168,32.418324,20.201454,19.329655
258,258,-0.38836712,24.688114,35.311886,20.106033,19.073582
259,259,-0.3038391,31.194489,28.80551,19.94838,18.724583
260,260,-0.4357061,26.23692,33.76308,19.853243,17.993841
261,261,-0.51062137,25.277565,34.722435,19.712683,17.622606
262,262,-0.31041917,26.339128,33.660873,19.772375,19.632847
263,263,-0.24490556,24.754297,35.2457,26.68018,20.780039
264,264,-0.17206058,29.748075,30.251925,24.020733,19.695566
265,265,-0.31669104,25.295454,34.704544,25.113592,19.325178
266,266,-0.24714032,27.981571,32.01843,24.264719,18.988953
267,267,-0.40350598,24.712242,35.287754,25.42248,18.593014
268,268,-0.5229449,24.32791,35.67209,24.838125,17.637785
269,269,-4.91195,28.216393,31.783611,20.933334,16.918274
270,270,-0.56348825,28.014824,31.985178,20.461176,16.029985
271,271,-0.6215385,23.174982,36.825016,19.800728,17.520424
272,272,-0.60587674,22.676073,37.323925,20.034935,17.833807
273,273,-0.5129645,25.23205,34.767952,19.870071,17.592688
274,274,-0.39508176,26.199553,33.80044,19.958979,18.448952
275,275,-0.3926776,27.452534,32.547462,19.675371,18.150827
276,276,-0.35022464,25.264864,34.735134,22.199339,19.02818
277,277,-0.35317954,24.79614,35.20386,25.663715,19.134909
278,278,-0.624026,20.201162,39.79884,24.548002,18.924437
279,279,-4.4350924,24.917887,35.08212,24.787613,18.484007
280,280,-0.4517229,25.010954,34.989044,23.814644,17.950747
281,281,-0.57816935,24.997673,35.002327,24.600418,16.866879
282,282,-8.424856,23.000786,36.999218,24.444063,16.54523
283,283,-0.38746363,25.217022,34.782978,24.829477,18.499998
284,284,-0.24400531,27.146296,32.853706,24.47769,19.439856
285,285,-0.8091305,18.548908,41.45109,23.334415,18.378038
286,286,-0.70233214,20.485786,39.51421,24.199532,18.165718
287,287,-0.26981878,27.728687,32.271313,25.160475,18.681213
288,288,-5.146488,20.675045,39.32496,24.25097,20.104536
289,289,-0.34647006,23.640274,36.359726,24.988535,19.861324
290,290,-0.46594715,21.554514,38.445484,25.245817,19.673164
291,291,-0.51363134,20.37034,39.629658,24.974157,19.848228
292,292,-0.8126164,16.757874,43.242126,25.309526,19.397568
293,293,-0.5198346,22.209274,37.790726,25.62104,18.792858
294,294,-0.529965,21.812439,38.18756,25.63327,18.917082
295,295,-0.37813035,25.921415,34.078587,24.388548,18.249624
296,296,-0.6913461,21.39314,38.60686,20.642431,17.747696
297,297,-1.0733057,18.949118,41.05088,20.260963,16.662285
298,298,-1.3845798,16.955597,43.044403,20.333113,16.207893
299,299,-1.488105,14.866832,45.133167,20.062395,16.681257
300,300,-0.632106,23.476204,36.523796,20.372412,17.277086
301,301,-1.1024337,16.88262,43.11738,19.524109,17.395136
302,302,-0.7540257,18.877436,40.19229,19.550766,18.043318
303,303,-0.59186125,21.170044,38.829956,19.386518,18.63158
304,304,-0.25491238,21.225864,32.46816,18.864744,19.065666
305,305,-1.0819803,6.9484463,44.812195,18.767752,19.2375
306,306,-0.92849505,11.152789,43.27191,18.440552,18.779997
307,307,-0.8283801,11.931146,41.832912,18.952108,18.736565
308,308,-8.858528,18.980724,41.01928,19.961205,18.08483
309,309,-1.1117853,12.28868,43.70326,20.032434,17.909792
310,310,-0.6622535,14.088399,37.31881,20.240992,17.686598
311,311,-1.4237001,11.86094,43.882683,19.747274,16.625475
312,312,-0.37672085,13.83698,46.16302,20.735933,25.621693
313,313,-0.21098784,16.527185,41.374737,20.716576,25.58232
314,314,-0.44400987,10.645758,45.257202,21.393368,25.181133
315,315,-0.17504944,19.631424,40.368576,21.10227,25.427874
316,316,-0.62503684,0.0,38.214745,21.14509,25.475245
317,317,-0.29913887,15.084608,44.003174,20.704817,25.519594
318,318,-0.38919562,9.59817,43.389767,20.893408,25.565052
319,319,-0.55021244,3.6424723,41.771194,20.500698,25.295761
320,320,-0.19000289,16.197428,40.037785,20.235826,25.288376
321,321,-6.136188,11.251185,48.748817,19.730772,24.810207
322,322,-3.1334074,16.748783,43.25122,19.688583,24.858805
323,323,-0.15539613,13.089696,36.32934,19.000177,24.838404
324,324,-0.25021183,13.265926,41.033463,18.359446,24.85771
325,325,-0.5623728,10.542894,49.457104,17.988316,25.023361
326,326,-0.5333779,10.881575,49.118423,18.535181,25.231571
327,327,-0.5659418,9.34006,49.044773,21.678581,25.828579
328,328,-0.20785224,13.104622,36.165012,26.136305,25.671228
329,329,-0.36257702,5.395155,37.081127,19.819847,25.712822
330,330,-0.6744343,5.3959374,49.04503,19.467218,25.69059
