episode,reward,alloc_lte,alloc_nr,demand_lte,demand_nr
0,-0.5310842966627196,30.485136,29.514864,15.807497,20.394081
1,-2.653352566200539,0.5943344,59.405666,18.024706,19.21998
2,-0.9389163433340322,0.59999996,0.59999996,18.535122,20.217695
3,-1.6629617691751566,0.59999996,56.9825,18.158249,22.378908
4,-0.9391090465263137,0.59999996,0.59999996,17.885658,21.19555
5,-0.47508911773063034,0.59999996,22.361383,18.393919,19.969004
6,-0.9380885833321351,0.59999996,0.59999996,18.624899,19.552782
7,-0.9389427996710342,0.59999996,0.59999996,19.45418,19.2449
8,-0.9382501694171328,0.59999996,0.59999996,19.806532,18.494652
9,-0.8228355968216334,3.102046,0.59999996,19.783041,18.068966
10,-0.6574076318440394,7.4417863,0.59999996,19.540804,17.199553
11,-0.4604253048716278,23.385626,36.614372,18.49809,19.04501
12,-1.5929269169604883,0.59999996,52.543674,18.228346,21.015783
13,-0.9370825804335539,0.59999996,0.59999996,17.602415,20.095201
14,-2.1461941652898773,0.59999996,55.497982,18.030088,19.5937
15,-0.5181759741159753,12.233508,0.59999996,17.71425,19.90603
16,-0.7004000643726092,16.71114,43.288857,21.688517,20.031017
17,-0.35403870613622523,24.55888,35.44112,19.937855,19.592367
18,-0.16323892404731488,23.736425,30.062284,20.517488,19.402262
19,-0.9407532274024568,0.59999996,0.59999996,21.38194,18.694853
20,-0.48708121227250534,24.077307,35.92269,20.68572,18.204529
21,-0.9656111880464966,15.273678,44.726322,21.23622,18.943604
22,-0.9424075676467485,0.59999996,0.59999996,20.976528,20.10497
23,-0.9415312893616434,0.59999996,0.59999996,20.724445,19.737844
24,-0.19536122302505565,20.064106,39.935894,20.561554,24.58184
25,-0.9464195575919554,0.59999996,0.59999996,20.356472,24.145947
26,-0.3552739407031764,20.748898,3.8734584,20.330626,24.622921
27,-0.47329291417713815,0.59999996,25.876842,21.037914,24.573673
28,-0.9531617146516371,0.59999996,0.59999996,26.036457,24.634848
29,-0.953070633935555,0.59999996,0.59999996,26.022171,24.553501
30,-0.9707138421477524,6.059323,53.940678,20.857206,24.527514
31,-0.48921210754710576,0.59999996,28.862091,22.580305,24.549368
32,-0.48493818317992965,0.59999996,27.668869,25.981367,24.602875
33,-0.9529673978247537,0.59999996,0.59999996,25.79385,24.652853
34,-0.19483115206849,29.188084,30.811916,18.53482,24.778002
35,-0.5966250568006704,0.59999996,12.049749,18.78017,24.396627
36,-0.17106275622775513,25.522943,34.47706,17.994404,24.4734
37,-0.9456688397314466,0.59999996,0.59999996,19.521032,24.626286
38,-0.8916315473351677,6.589183,53.195637,19.655172,24.6485
39,-0.17957113222597457,33.32372,26.676281,20.922415,24.509495
40,-0.9467567626573903,0.59999996,0.59999996,20.258783,24.628735
41,-0.9463082355489352,0.59999996,0.59999996,20.02734,24.508678
42,-0.9606003706338075,0.59999996,49.097485,20.040878,24.671589
43,-1.4587256637184343,0.5981195,59.401882,19.797356,24.688599
44,-16.34900175749442,0.59510237,59.4049,19.592157,24.490675
45,-0.9586987568912395,0.59999996,48.91617,19.410261,24.592447
46,-0.9486803032002289,0.59999996,0.59999996,21.801746,24.512629
47,-16.268973073647658,0.59552974,59.404472,25.865717,24.593493
48,-0.0652377136546395,25.27334,34.72666,25.652185,25.517202
49,-1.3541697325875592,0.59999996,58.91164,24.918823,25.337143
50,-0.949466142131616,0.59999996,0.59999996,21.870258,25.254824
51,-1.0237499880050294,0.59999996,52.294144,19.50899,25.476452
52,-0.9479664146751148,0.59999996,0.59999996,20.609314,25.39862
53,-0.9480529146952552,0.59999996,0.59999996,20.853825,25.131662
54,-14.937302372812146,0.5956216,59.40438,20.900736,25.482471
55,-15.12234700528767,0.5958825,59.40412,20.933725,25.345865
56,-15.48168253907587,52.376022,7.6239805,20.747715,25.472927
57,-0.6884776609484167,0.59999996,8.687564,20.942654,25.428776
58,-0.947866868409367,0.59999996,0.59999996,20.568615,25.35074
59,-0.4732577232292787,0.59999996,27.036163,20.112175,25.202938
