Episode 0, Reward: -0.53, | Demand=(15.81, 20.39) | Alloc=(30.49, 29.51)
Episode 1, Reward: -2.65, | Demand=(18.02, 19.22) | Alloc=(0.59, 59.41)
Episode 2, Reward: -0.94, | Demand=(18.54, 20.22) | Alloc=(0.60, 0.60)
Episode 3, Reward: -1.66, | Demand=(18.16, 22.38) | Alloc=(0.60, 56.98)
Episode 4, Reward: -0.94, | Demand=(17.89, 21.20) | Alloc=(0.60, 0.60)
Episode 5, Reward: -0.48, | Demand=(18.39, 19.97) | Alloc=(0.60, 22.36)
Episode 6, Reward: -0.94, | Demand=(18.62, 19.55) | Alloc=(0.60, 0.60)
Episode 7, Reward: -0.94, | Demand=(19.45, 19.24) | Alloc=(0.60, 0.60)
Episode 8, Reward: -0.94, | Demand=(19.81, 18.49) | Alloc=(0.60, 0.60)
Episode 9, Reward: -0.82, | Demand=(19.78, 18.07) | Alloc=(3.10, 0.60)
Episode 10, Reward: -0.66, | Demand=(19.54, 17.20) | Alloc=(7.44, 0.60)
Episode 11, Reward: -0.46, | Demand=(18.50, 19.05) | Alloc=(23.39, 36.61)
Episode 12, Reward: -1.59, | Demand=(18.23, 21.02) | Alloc=(0.60, 52.54)
Episode 13, Reward: -0.94, | Demand=(17.60, 20.10) | Alloc=(0.60, 0.60)
Episode 14, Reward: -2.15, | Demand=(18.03, 19.59) | Alloc=(0.60, 55.50)
Episode 15, Reward: -0.52, | Demand=(17.71, 19.91) | Alloc=(12.23, 0.60)
Episode 16, Reward: -0.70, | Demand=(21.69, 20.03) | Alloc=(16.71, 43.29)
Episode 17, Reward: -0.35, | Demand=(19.94, 19.59) | Alloc=(24.56, 35.44)
Episode 18, Reward: -0.16, | Demand=(20.52, 19.40) | Alloc=(23.74, 30.06)
Episode 19, Reward: -0.94, | Demand=(21.38, 18.69) | Alloc=(0.60, 0.60)
Episode 20, Reward: -0.49, | Demand=(20.69, 18.20) | Alloc=(24.08, 35.92)
Episode 21, Reward: -0.97, | Demand=(21.24, 18.94) | Alloc=(15.27, 44.73)
Episode 22, Reward: -0.94, | Demand=(20.98, 20.10) | Alloc=(0.60, 0.60)
Episode 23, Reward: -0.94, | Demand=(20.72, 19.74) | Alloc=(0.60, 0.60)
Episode 24, Reward: -0.20, | Demand=(20.56, 24.58) | Alloc=(20.06, 39.94)
Episode 25, Reward: -0.95, | Demand=(20.36, 24.15) | Alloc=(0.60, 0.60)
Episode 26, Reward: -0.36, | Demand=(20.33, 24.62) | Alloc=(20.75, 3.87)
Episode 27, Reward: -0.47, | Demand=(21.04, 24.57) | Alloc=(0.60, 25.88)
Episode 28, Reward: -0.95, | Demand=(26.04, 24.63) | Alloc=(0.60, 0.60)
Episode 29, Reward: -0.95, | Demand=(26.02, 24.55) | Alloc=(0.60, 0.60)
Episode 30, Reward: -0.97, | Demand=(20.86, 24.53) | Alloc=(6.06, 53.94)
Episode 31, Reward: -0.49, | Demand=(22.58, 24.55) | Alloc=(0.60, 28.86)
Episode 32, Reward: -0.48, | Demand=(25.98, 24.60) | Alloc=(0.60, 27.67)
Episode 33, Reward: -0.95, | Demand=(25.79, 24.65) | Alloc=(0.60, 0.60)
Episode 34, Reward: -0.19, | Demand=(18.53, 24.78) | Alloc=(29.19, 30.81)
Episode 35, Reward: -0.60, | Demand=(18.78, 24.40) | Alloc=(0.60, 12.05)
Episode 36, Reward: -0.17, | Demand=(17.99, 24.47) | Alloc=(25.52, 34.48)
Episode 37, Reward: -0.95, | Demand=(19.52, 24.63) | Alloc=(0.60, 0.60)
Episode 38, Reward: -0.89, | Demand=(19.66, 24.65) | Alloc=(6.59, 53.20)
Episode 39, Reward: -0.18, | Demand=(20.92, 24.51) | Alloc=(33.32, 26.68)
Episode 40, Reward: -0.95, | Demand=(20.26, 24.63) | Alloc=(0.60, 0.60)
Episode 41, Reward: -0.95, | Demand=(20.03, 24.51) | Alloc=(0.60, 0.60)
Episode 42, Reward: -0.96, | Demand=(20.04, 24.67) | Alloc=(0.60, 49.10)
Episode 43, Reward: -1.46, | Demand=(19.80, 24.69) | Alloc=(0.60, 59.40)
Episode 44, Reward: -16.35, | Demand=(19.59, 24.49) | Alloc=(0.60, 59.40)
Episode 45, Reward: -0.96, | Demand=(19.41, 24.59) | Alloc=(0.60, 48.92)
Episode 46, Reward: -0.95, | Demand=(21.80, 24.51) | Alloc=(0.60, 0.60)
Episode 47, Reward: -16.27, | Demand=(25.87, 24.59) | Alloc=(0.60, 59.40)
Episode 48, Reward: -0.07, | Demand=(25.65, 25.52) | Alloc=(25.27, 34.73)
Episode 49, Reward: -1.35, | Demand=(24.92, 25.34) | Alloc=(0.60, 58.91)
Episode 50, Reward: -0.95, | Demand=(21.87, 25.25) | Alloc=(0.60, 0.60)
